id,name,calories,proteins,fat,carbohydrate,status,alasan,saran_porsi
31,Ayam  Goreng Kentuckysayap,297.0,35.9,15.2,1.6,NETRAL,lemak 15.2g (zona netral 10–18g); protein 35.9g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
32,Ayam Ampela Goreng,270.0,32.3,11.2,9.9,NETRAL,lemak 11.2g (zona netral 10–18g); protein 32.3g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
33,Ayam Dideh/Darah Segar,75.0,13.8,1.9,0.7,BISA,lemak 1.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
34,Ayam Goreng Church Texa Sayap,295.0,34.0,16.0,1.5,NETRAL,lemak 16.0g (zona netral 10–18g); protein 34.0g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
35,Ayam Goreng Church Texas Dada,338.0,35.2,20.6,0.4,NETRAL,"lemak 20.6g (perlu dibatasi, batas aman 18g); protein 35.2g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
36,Ayam Goreng Kalasan Paha,275.0,37.4,12.2,1.3,NETRAL,lemak 12.2g (zona netral 10–18g); protein 37.4g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
37,Ayam Goreng Kentucky Dada,298.0,34.2,16.8,0.1,NETRAL,lemak 16.8g (zona netral 10–18g); protein 34.2g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
38,Ayam Goreng Kentucky Paha,286.0,32.1,16.1,1.1,NETRAL,lemak 16.1g (zona netral 10–18g); protein 32.1g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
39,Ayam Goreng Mbok Berek Dada,295.0,39.2,13.6,1.0,NETRAL,lemak 13.6g (zona netral 10–18g); protein 39.2g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
40,Ayam Goreng Paha,287.0,31.0,15.7,1.7,NETRAL,lemak 15.7g (zona netral 10–18g); protein 31.0g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
41,Ayam Goreng Pasundan Dada,246.0,37.9,9.0,0.7,BISA,lemak 9.0g (di bawah batas 10g); protein 37.9g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
42,Ayam Goreng Pasundan Paha,245.0,33.1,11.4,0.3,NETRAL,lemak 11.4g (zona netral 10–18g); protein 33.1g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
43,Ayam Goreng Pioneer Dada,295.0,37.4,14.7,0.6,NETRAL,lemak 14.7g (zona netral 10–18g); protein 37.4g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
44,Ayam Goreng Sukabumi Dada,244.0,36.7,9.2,1.0,BISA,lemak 9.2g (di bawah batas 10g); protein 36.7g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
45,Ayam Goreng Sukabumi Paha,283.0,35.7,14.3,0.5,NETRAL,lemak 14.3g (zona netral 10–18g); protein 35.7g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
46,Ayam Hati Segar,261.0,27.4,16.1,1.6,NETRAL,lemak 16.1g (zona netral 10–18g); protein 27.4g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
47,Ayam Taliwang Masakan,264.0,18.2,20.1,2.7,NETRAL,"lemak 20.1g (perlu dibatasi, batas aman 18g); protein 18.2g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
48,Ayam Usus Goreng,473.0,45.2,26.3,13.9,TIDAK_BISA,lemak 26.3g (melebihi batas 25g); kalori 473.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
49,Babat,113.0,17.6,4.2,0.0,BISA,lemak 4.2g (di bawah batas 10g); protein 17.6g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
50,Babi Daging Gemuk Segar,453.0,11.9,45.0,0.0,TIDAK_BISA,lemak 45.0g (melebihi batas 25g); kalori 453.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
51,Babi Daging Kurus Segar,371.0,14.1,35.0,0.0,TIDAK_BISA,lemak 35.0g (melebihi batas 25g),Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
52,Babi Ginjal Segar,110.0,16.3,4.6,0.8,BISA,lemak 4.6g (di bawah batas 10g); protein 16.3g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
53,Babi Hati Segar,129.0,19.7,4.8,1.7,BISA,lemak 4.8g (di bawah batas 10g); protein 19.7g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
54,Babi Hutan Masak Rica Masakan,491.0,24.6,16.3,0.2,NETRAL,lemak 16.3g (zona netral 10–18g); kalori 491.0 kkal cukup tinggi untuk kondisi ini; protein 24.6g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
55,Bacang,102.9,3.3,2.7,16.3,BISA,lemak 2.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
56,Bagea Kelapa Asin,450.0,3.2,13.9,78.1,NETRAL,lemak 13.9g (zona netral 10–18g); kalori 450.0 kkal cukup tinggi untuk kondisi ini,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
57,Bagea Kelapa Manis,452.0,1.3,13.8,80.6,NETRAL,lemak 13.8g (zona netral 10–18g); kalori 452.0 kkal cukup tinggi untuk kondisi ini,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
58,Bagea Kenari Asin,529.0,3.2,29.1,63.6,TIDAK_BISA,lemak 29.1g (melebihi batas 25g); kalori 529.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
59,Bagea Kenari Manis,523.0,3.2,28.2,64.2,TIDAK_BISA,lemak 28.2g (melebihi batas 25g); kalori 523.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
60,Bagea Kw 1,416.0,6.5,9.4,76.3,NETRAL,lemak 9.4g (di bawah batas 10g); kalori 416.0 kkal cukup tinggi untuk kondisi ini,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
61,Bagea Kw 2,382.0,0.3,3.5,87.2,BISA,lemak 3.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
62,Baje,129.0,1.9,6.6,15.6,BISA,lemak 6.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
63,Bakpia Kue,272.0,8.7,6.7,44.1,BISA,lemak 6.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
64,Bakso,76.0,4.1,2.5,9.2,BISA,lemak 2.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
65,Bakung Segar,27.0,2.0,0.2,4.2,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
66,Bakwan,280.0,8.2,10.2,39.0,NETRAL,lemak 10.2g (zona netral 10–18g),"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
67,Baligo,13.0,0.4,0.2,3.0,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
68,Bantal,190.0,3.3,0.3,43.5,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
69,Barongko,159.0,3.1,5.8,23.5,BISA,lemak 5.8g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
70,Batang Tading,137.0,4.3,4.8,19.1,BISA,lemak 4.8g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
71,Batar Daan,107.0,2.2,2.2,19.6,BISA,lemak 2.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
72,Batatas Gembili Segar,76.0,1.1,0.9,16.0,BISA,lemak 0.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
73,Batatas Kelapa Ubi Bakar,110.0,1.4,1.1,23.4,BISA,lemak 1.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
74,Batatas Kelapa Ubi Kukus,92.0,1.2,0.3,21.0,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
75,Batatas Kelapa Ubi Segar,89.0,1.1,0.1,21.0,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
76,Batatas Tali Ubi Rebus,182.0,2.4,0.4,42.2,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
77,Bawang Bombay,45.0,1.4,0.2,10.3,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
78,Bawang Merah,39.0,1.5,0.3,0.2,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
79,Bawang Putih,95.0,4.5,0.2,23.1,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
80,Bayam Kukus,30.0,1.3,0.7,5.8,BISA,lemak 0.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
81,Bayam Merah,51.0,4.6,0.5,10.0,BISA,lemak 0.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
82,Bayam Merah Segar,41.0,2.2,0.8,6.3,BISA,lemak 0.8g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
83,Bayam Rebus,23.0,1.2,0.6,3.7,BISA,lemak 0.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
84,Bayam Segar,36.0,3.5,0.5,6.5,BISA,lemak 0.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
85,Bayam Tumis + Oncom,102.0,3.7,6.7,6.9,BISA,lemak 6.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
86,Bayam Tumis Bersantan,48.0,1.4,4.2,2.6,BISA,lemak 4.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
87,Bebek (Itik),326.0,16.0,28.6,0.0,TIDAK_BISA,lemak 28.6g (melebihi batas 25g),Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
88,Bebek Alabio Daging Segar,303.0,11.3,27.0,3.7,TIDAK_BISA,lemak 27.0g (melebihi batas 25g),Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
89,Bebek Daging Goreng,300.0,24.0,20.7,4.5,NETRAL,"lemak 20.7g (perlu dibatasi, batas aman 18g); protein 24.0g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
90,Beberuk,65.0,1.1,5.2,3.5,BISA,lemak 5.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
91,Beef Burger,258.0,10.6,9.5,32.5,BISA,lemak 9.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
92,Beef Teriyaki Masakan,151.0,8.6,3.1,22.3,BISA,lemak 3.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
93,Beef Yakiniku Masakan,132.0,9.8,1.1,20.7,BISA,lemak 1.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
94,Bekasam,116.0,11.9,4.9,6.1,BISA,lemak 4.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
95,Bekasang,78.0,11.4,2.0,3.6,BISA,lemak 2.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
96,Belibis Daging Segar,131.0,20.2,4.3,2.8,BISA,lemak 4.3g (di bawah batas 10g); protein 20.2g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
97,Belimbing,36.0,0.4,0.4,8.8,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
98,Belitung Talas Kukus,145.0,1.2,0.4,34.2,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
99,Belut Goreng,417.0,25.9,19.4,32.0,NETRAL,"lemak 19.4g (perlu dibatasi, batas aman 18g); kalori 417.0 kkal cukup tinggi untuk kondisi ini; protein 25.9g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
100,Belut Segar,70.0,14.6,0.8,1.0,BISA,lemak 0.8g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
101,Belutlaut Segar,93.0,12.8,1.5,6.1,BISA,lemak 1.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
102,Bengkuang,55.0,1.4,0.2,12.8,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
103,Bentul (Komba)  Talas Segar,98.0,1.6,0.7,20.9,BISA,lemak 0.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
104,Bentul Talas Kukus,71.0,2.3,0.3,15.4,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
105,Beras Cerdas,350.0,2.7,1.1,82.3,BISA,lemak 1.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
106,Beras Ganyong,364.0,3.4,0.7,86.3,BISA,lemak 0.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
107,Beras Giling,360.0,6.8,0.7,78.9,BISA,lemak 0.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
108,Beras Giling Masak (Nasi),178.0,2.1,0.1,40.6,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
109,Beras Giling Mentah,357.0,8.4,1.7,77.1,BISA,lemak 1.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
110,Beras Giling Var Pelita Mentah,369.0,9.5,1.4,77.1,BISA,lemak 1.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
111,Beras Giling Var Rojolele Mentah,357.0,8.4,1.7,77.1,BISA,lemak 1.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
112,Beras Hitam Mentah,351.0,8.0,1.3,76.9,BISA,lemak 1.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
113,Beras Jagung Kuning Kering Mentah,358.0,5.5,0.1,82.7,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
114,Beras Jagung Putih Kering Mentah,307.0,4.8,0.1,71.8,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
115,Beras Ketan Hitam,356.0,7.0,0.7,78.0,BISA,lemak 0.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
116,Beras Ketan Hitam Kukus,181.0,4.0,1.2,37.3,BISA,lemak 1.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
117,Beras Ketan Hitam Tape,166.0,3.8,1.0,34.4,BISA,lemak 1.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
118,Beras Ketan Hitam Tumbuk,360.0,8.0,2.3,74.5,BISA,lemak 2.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
119,Beras Ketan Hitam Tumbuk Mentah,360.0,8.0,2.3,74.5,BISA,lemak 2.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
120,Beras Ketan Putih,362.0,6.7,0.7,79.4,BISA,lemak 0.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
121,Beras Ketan Putih Kukus,163.0,3.0,0.4,35.7,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
122,Beras Ketan Putih Tape,172.0,3.0,0.5,37.5,BISA,lemak 0.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
123,Beras Ketan Putih Tumbuk,361.0,7.4,0.8,78.4,BISA,lemak 0.8g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
124,Beras Ketan Putih Tumbuk Mentah,361.0,7.4,0.8,78.4,BISA,lemak 0.8g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
125,Beras Ladang Mentah,376.0,7.5,3.8,78.0,BISA,lemak 3.8g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
126,Beras Menir,339.0,7.7,4.4,73.0,BISA,lemak 4.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
127,Beras Menir Mentah,362.0,7.7,4.4,73.0,BISA,lemak 4.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
128,Beras Merah Tumbuk,359.0,7.5,0.9,77.6,BISA,lemak 0.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
129,Beras Parboiled,364.0,6.8,0.6,80.1,BISA,lemak 0.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
130,Beras Parboiled,353.0,6.8,0.6,80.0,BISA,lemak 0.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
131,Beras Pecah Kulit,335.0,7.4,1.9,76.2,BISA,lemak 1.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
132,Beras Setengah Giling,363.0,7.6,1.1,78.3,BISA,lemak 1.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
133,Beras Siger,344.0,1.1,0.2,28.3,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
134,Beras Tumbuk Mentah,354.0,7.8,0.4,79.9,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
135,Beras Tumbuk Merah Mentah,352.0,7.3,0.9,76.2,BISA,lemak 0.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
136,Betok Wadi Masakan,145.0,16.3,7.0,4.1,BISA,lemak 7.0g (di bawah batas 10g); protein 16.3g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
137,Bihun,360.0,4.7,0.1,82.1,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
138,Bihun Goreng,154.0,3.0,4.5,25.5,BISA,lemak 4.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
139,Bihun Goreng Instan,381.0,6.1,3.9,80.3,BISA,lemak 3.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
140,Bihun Jagung Mentah,354.0,0.5,0.3,87.4,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
141,Bihun Mentah,348.0,4.7,0.1,82.1,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
142,Biji Jambu Mete,562.0,21.2,49.6,23.6,TIDAK_BISA,lemak 49.6g (melebihi batas 25g); kalori 562.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
143,Biji Jambu Mete Goreng,629.0,21.5,56.6,19.8,TIDAK_BISA,lemak 56.6g (melebihi batas 25g); kalori 629.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
144,Biji Nangka/Biji Salak,262.0,2.3,5.4,51.1,BISA,lemak 5.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
145,Bika Ambon,199.0,2.1,1.5,44.4,BISA,lemak 1.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
146,Bika Ambon,225.7,3.0,0.3,52.9,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
147,Bir (4% Alkohol),48.0,0.6,0.0,4.4,BISA,lemak 0.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
148,Biskuit,458.0,6.9,14.4,75.1,NETRAL,lemak 14.4g (zona netral 10–18g); kalori 458.0 kkal cukup tinggi untuk kondisi ini,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
149,Bit,42.0,1.6,0.1,9.6,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
150,Biwah Segar,51.0,0.3,0.1,12.1,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
